,tempAire,humAire,tempMaxAire,tempMinAire,humMaxAire,humMinAire,precipitacion
1,16.179166666666667,90.875,16.62916666666667,15.741666666666667,92.83333333333333,89.47826086956522,0.0
2,19.499999999999996,83.79166666666667,20.09166666666667,18.7875,86.20833333333333,80.69565217391305,0.0
3,20.32916666666667,93.5,20.833333333333332,20.004166666666663,94.625,91.04347826086956,2.0666666666666664
4,20.441666666666663,92.45833333333333,20.875,19.900000000000002,94.45833333333333,90.47826086956522,0.6166666666666667
5,20.862499999999997,85.91666666666667,21.445833333333326,20.191666666666663,88.95833333333333,82.65217391304348,0.13333333333333333
6,22.475000000000005,81.08333333333333,23.10833333333333,21.925,83.5,77.47826086956522,0.0
7,21.154166666666665,80.625,21.78333333333333,20.441666666666666,84.33333333333333,77.0,0.0
8,18.741666666666664,89.875,19.150000000000002,18.308333333333337,92.125,87.95652173913044,0.0
9,18.437499999999996,94.875,18.85,18.058333333333334,96.125,93.26086956521739,0.024999999999999998
10,18.6125,96.20833333333333,18.92083333333333,18.366666666666664,97.125,94.78260869565217,0.48333333333333334
11,19.129166666666666,94.875,19.49166666666667,18.808333333333334,96.25,93.08695652173913,0.7750000000000002
12,19.654166666666665,93.33333333333333,20.212499999999995,19.108333333333338,95.5,90.8695652173913,0.8500000000000001
13,18.65909090909091,97.13636363636364,18.9,18.427272727272726,97.54545454545455,96.66666666666667,1.8454545454545455
14,20.15416666666667,88.66666666666667,20.645833333333336,19.52916666666667,91.75,86.21739130434783,0.12500000000000003
15,17.625000000000004,93.83333333333333,18.09166666666667,17.304166666666664,95.58333333333333,92.21739130434783,0.03333333333333333
16,17.679166666666664,90.875,18.024999999999995,17.295833333333334,92.33333333333333,88.95652173913044,0.0
17,19.86666666666666,92.875,20.250000000000004,19.383333333333336,95.20833333333333,90.82608695652173,0.11666666666666665
18,20.41666666666666,89.08333333333333,21.05833333333333,19.787499999999998,92.125,84.82608695652173,0.0
19,21.612499999999997,88.66666666666667,21.979166666666668,21.254166666666666,91.0,87.26086956521739,0.11666666666666665
20,18.879166666666666,93.83333333333333,19.325,18.508333333333333,95.5,91.56521739130434,1.4083333333333334
