,Dia,LluviaMediaDiaria(cm^2/cm^3),HumedadMediaAire(%),HumedadMinimaAire(%),HumedadMaximaAire(%),HumedadMediaSuelo(%),HumedadMinimaSuelo(%),HumedadMaximaSuelo(%),pH,PromedioHorasSol,NitrogenoSuelo(mg/Kg),TemperaturaMediaAire(°C),TemperaturaMinimaAire(°C),TemperaturaMaximaAire(°C),TemperaturaMediaSuelo(°C),TemperaturaMinimaSuelo(°C),TemperaturaMaximaSuelo(°C)
0,1.0,54.56079137647144,82.06014658847748,36.510781736673366,85.67146680352721,74.3373450186504,40.15071435297912,79.38559877377402,5.421017200232159,5.261429671695795,100.0,25.751406586145183,16.07751638853671,28.209398865356853,18.132563678318114,13.317750936554477,25.49945093515633
1,2.0,17.9336823100529,53.43046387616669,40.20591137286743,76.30169154210328,83.38883807195111,39.43682493255884,82.43184029291389,6.186954632129135,2.621085775178715,200.0,22.668141731157032,15.083070652870331,22.419432466299,20.97284762675517,13.213222684229743,27.31863751849572
2,3.0,1.862077508677018,63.72995636798659,43.46020610889169,76.74534729512887,41.21474559784912,35.475205502356594,82.96055255812504,7.9657743097149645,4.684921068596091,500.0,13.974255923238282,17.687942595523303,27.754890346910248,8.937664580712061,11.070508491449631,22.493711175950047
3,4.0,15.834803672572576,60.1766100745066,46.62988519139634,75.88719620242404,63.18846045081854,48.88817348678321,82.81796163994903,3.195514215086977,8.199537422646248,200.0,21.149178779097287,12.108928916422727,27.450599094604886,23.515869186836035,12.618627687566196,26.251790440768833
4,5.0,32.50338876001605,79.30215935231406,38.376128268800734,80.78453373141589,101.96806565647884,46.324204316646686,79.9391713116906,8.434416551718376,5.255708270894108,300.0,21.679376930748816,15.992109547457655,28.22726482373381,17.59319743697567,13.491701703888175,24.675956058356338
5,6.0,2.5439050938712384,38.03900165453179,39.98345899662944,84.6382409258077,90.19871948711436,41.68636905501543,88.12810777662949,8.140279091236515,6.77092922258974,100.0,23.81678682979218,12.741590273050942,26.40013927619997,29.67220333625403,15.905434329351538,25.5573735288683
6,7.0,59.4159773019872,85.04198592661541,45.777153752550326,85.35387648588436,55.777839232725015,35.589859334598344,90.07966087606428,4.798408068098894,6.116201158406744,300.0,14.916837093815463,17.026496073647362,29.343429383855014,15.204595815316232,13.827387036634937,30.250255355385733
7,8.0,37.55544269944592,63.28677832808167,34.340744119819554,70.11148545256877,74.47611291411249,31.573063620092427,75.75741046053339,5.615247397025458,3.253503633261113,200.0,23.631750139695306,15.791064141194376,28.251839783774336,16.62876864814947,11.65522196289235,24.946020289913843
8,9.0,17.08614274798027,68.6082352078726,32.31176504519801,77.50983128511835,65.85981684302267,37.48279339565276,71.85371916434177,5.21126994663255,3.8460731564534036,300.0,25.841870563352487,14.486058390262258,26.896827217155167,16.618474895778952,17.529920498199882,26.81020503267053
9,10.0,32.76596517665257,48.831179131977485,40.4381049809305,79.0235865018066,84.20497919337856,44.90103506929143,87.16678250974219,7.788651182392881,8.949365456287918,100.0,29.520946726190918,16.275212990907928,24.750379579289408,19.292288506060718,13.045820359275085,25.978439229670958
10,11.0,5.286947700509774,87.94693790224804,35.628872599030956,69.45337543175482,41.82190619047755,35.15081625466413,80.96765723730762,6.560554815778571,8.333053948151505,100.0,21.090521127089108,17.015007140496103,25.463865309308932,18.631663213055567,14.52552346874649,23.676335633421154
11,12.0,24.021682210385706,79.89571820559236,38.59682867099933,77.29610435866498,88.14174631513002,39.69801773067578,80.4276866093531,6.963329228127155,7.636622124987898,500.0,18.22375582038266,17.76312024659583,25.00169150161489,22.80084807666,11.340346912799443,24.4516037448048
12,13.0,2.9962546093414417,72.51442892677417,38.24191435115915,76.04274229193348,28.91139387480697,40.35522074567405,86.06324511673833,6.415046864192036,3.0297741054653073,100.0,16.393826455151334,15.0839832579722,29.524759731190954,15.510121422591894,12.135582193731453,28.402493251383675
13,14.0,13.472351145103222,41.95601137699089,48.543668743727366,83.59767867875544,59.78410577471343,54.75491070555671,75.88640186700195,4.394909412036222,6.362266612372247,200.0,14.635214713897781,14.382892160435746,26.85880377854727,17.506007705200094,13.432971816126642,24.788498658831088
14,15.0,53.589690942158434,65.7601838950845,44.996415300594336,81.24446821404167,76.42314940601507,36.79319800089891,88.88435967615145,5.877666601468722,7.249246920410901,500.0,27.16887722879042,16.839585043489727,28.465551004600762,7.101734786292182,18.053225237096893,28.25074874045302
15,16.0,26.83802625999889,29.634795467987637,43.21645567590078,84.46453374220488,33.36556877880474,42.7507399922248,78.1538318391485,8.865465238928644,2.870836711331485,200.0,26.927295973874322,21.389472038030725,25.140356019331342,15.8491420509208,15.125594903471569,28.51496940409897
16,17.0,-1.824072215473869,36.67846232369429,42.02695110687381,74.47027959377807,69.49936341520834,42.76281480349431,79.88251996770248,6.8582126890398225,8.201349828306219,200.0,17.94644326473386,16.144718807452968,30.030829189506466,11.671180673769157,9.066151415816858,27.60638505768762
17,18.0,27.814954146359703,75.0495068896804,35.91820659502156,87.0839881862491,89.12776066968135,42.61141344908404,73.60312917671023,7.032530435168416,0.254014292789817,100.0,24.928637437310368,19.207661617481474,27.324651348979266,15.577165259050373,14.4937928717988,23.56938977699751
18,19.0,8.22580228439567,105.60517970345046,38.516628960850205,80.05751440364018,62.20374932678131,44.21327867859858,88.27333365076073,6.182791362160593,6.58194387688316,300.0,21.50435028797766,15.777324819149426,27.59813192252645,16.744169957402484,12.044492118701228,24.617138984854876
